Language, English, Russian,

STR_SAR_CLASS_NAME, SARMAT: Russian architecture, САРМАТ: Русская архитектура и обьекты,

STR_SAR_RUINS_NAME, Ruins, Руины

STR_SAR_NAME_OBJECT_001, Road obstacle, Один бетонный блок
STR_SAR_NAME_OBJECT_002, Road obstacle fortress, Заграждение из блоков
STR_SAR_NAME_OBJECT_003, Field kitchen, Котел на перекладине
STR_SAR_NAME_OBJECT_004, Small Field kitchen, Маленькие котелки на перекладине
STR_SAR_NAME_OBJECT_005, Mangal, Мангал
STR_SAR_NAME_OBJECT_006, Samogon device, Самогонный аппарат
STR_SAR_NAME_OBJECT_007, Table With meal, Стол водка закуска
STR_SAR_NAME_OBJECT_008, Table with a map, Стол с картой
STR_SAR_NAME_OBJECT_009, Map, Карта
STR_SAR_NAME_OBJECT_010, Big barn with a fence, Деревянный сарай с забором и обьектами
STR_SAR_NAME_OBJECT_011, Machinegun position with sandbags, Пулеметная точка с навесом и мешками
STR_SAR_NAME_OBJECT_012, Old russian church, Русская старая церковь
STR_SAR_NAME_OBJECT_013, Church-yard, Двор к русской церкви с кладбищем
STR_SAR_NAME_OBJECT_014, Church-objects, Кровать матрасы колесо костер
STR_SAR_NAME_OBJECT_015, Van-house, Строительный вагончик
STR_SAR_NAME_OBJECT_016, Portable radio transmitter, Рация
STR_SAR_NAME_OBJECT_017, Small barn, Небольшой сарайчик
STR_SAR_NAME_OBJECT_018, House for farting, Туалет типа сартир
STR_SAR_NAME_OBJECT_019, Wood house with a fence, Бревенчатый дом с забором
STR_SAR_NAME_OBJECT_020, Big wood barn, Большой деревянный сарай
STR_SAR_NAME_OBJECT_021, Well boxes and objects, Колодец ящики обькты
STR_SAR_NAME_OBJECT_022, Hrushiovka with a VG position on roof, Хрущевка с ДШК позицией на крыше
STR_SAR_NAME_OBJECT_023, Soviet supermarket, Гастроном
STR_SAR_NAME_OBJECT_024, Crashed ZAZ-968M, Разбитый заз968
STR_SAR_NAME_OBJECT_025, Brick house, Кирпичный полуразрушенный дом
STR_SAR_NAME_OBJECT_026, Brick house wiyh a fence, Кирпичный дом с забором
STR_SAR_NAME_OBJECT_027, Destroyed brick house with a fence, Кирпичный развалившийся дом с забором
STR_SAR_NAME_OBJECT_028, Wood house with a radio station, Дом из бревен с радиостанцией
STR_SAR_NAME_OBJECT_029, Brick house with objects, Кирпичный дом забор обьекты
STR_SAR_NAME_OBJECT_030, Damadged house with objects, Кирпичный сильно разрушенный с обьектами
STR_SAR_NAME_OBJECT_031, Memorial, Памятник неизвестному солдату
STR_SAR_NAME_OBJECT_032, Wood boat station, Деревянный лодочный сарай
STR_SAR_NAME_OBJECT_033, Crashed KamAZ, Разбитый КАМАЗ
STR_SAR_NAME_OBJECT_034, Crashed small car, Разбитый запорожец
STR_SAR_NAME_OBJECT_035, Hrushevka, Хрущевка
STR_SAR_NAME_OBJECT_036, Fence with 6 sections HW2, Забор из 6 секций_1
STR_SAR_NAME_OBJECT_037, Fence with 7 sections HW2, Забор из 7 секций_1
STR_SAR_NAME_OBJECT_038, Fence with 1 section HW2, Забор из 1 секции_1
STR_SAR_NAME_OBJECT_039, Column electric, Электрический столб
STR_SAR_NAME_OBJECT_040, Small wood column , Деревянный столб маленький
STR_SAR_NAME_OBJECT_041, Fence with 7 sections HW3, Забор из 7 секций_2
STR_SAR_NAME_OBJECT_042, Fence with 4 sections HW3, Забор из 4 секций_2
STR_SAR_NAME_OBJECT_043, Fence with 1 section HW3, Забор из 1 секции_2
STR_SAR_NAME_OBJECT_044, Fence with 10 sections HW4, Забор из 10 секций_3
STR_SAR_NAME_OBJECT_045, Fence with 5 sections HW4, Забор из 5 секций_3
STR_SAR_NAME_OBJECT_046, car part1, Задний мост машины
STR_SAR_NAME_OBJECT_047, Small log, Небольшое бревно
STR_SAR_NAME_OBJECT_048, Log, Бревно для колки дров
STR_SAR_NAME_OBJECT_049, Fire in a barrol, Костер в бочке
STR_SAR_NAME_OBJECT_050, Fence with 1 section HW4, Забор из 1 секции_3
STR_SAR_NAME_OBJECT_051, Column electric 2, Столб электрический_2
